2023-01-10 19:12:06,903 INFO    StreamThr :19364 [internal.py:wandb_internal():90] W&B internal server running at pid: 19364, started at: 2023-01-10 19:12:06.903185
2023-01-10 19:12:06,905 DEBUG   HandlerThread:19364 [handler.py:handle_request():139] handle_request: status
2023-01-10 19:12:06,908 DEBUG   SenderThread:19364 [sender.py:send_request():317] send_request: status
2023-01-10 19:12:06,910 DEBUG   SenderThread:19364 [sender.py:send():303] send: header
2023-01-10 19:12:06,910 INFO    WriterThread:19364 [datastore.py:open_for_write():75] open: /Users/alex/Projects/usc-research/source-exploration/tasks/quote_attribution/other_platforms/span-detection-approaches/wandb/run-20230110_191206-232fddsk/run-232fddsk.wandb
2023-01-10 19:12:06,940 DEBUG   SenderThread:19364 [sender.py:send():303] send: run
2023-01-10 19:12:07,153 DEBUG   HandlerThread:19364 [handler.py:handle_request():139] handle_request: check_version
2023-01-10 19:12:07,158 INFO    SenderThread:19364 [dir_watcher.py:__init__():216] watching files in: /Users/alex/Projects/usc-research/source-exploration/tasks/quote_attribution/other_platforms/span-detection-approaches/wandb/run-20230110_191206-232fddsk/files
2023-01-10 19:12:07,159 INFO    SenderThread:19364 [sender.py:_start_run_threads():931] run started: 232fddsk with start time 1673395926.900183
2023-01-10 19:12:07,159 DEBUG   SenderThread:19364 [sender.py:send():303] send: summary
2023-01-10 19:12:07,159 INFO    SenderThread:19364 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2023-01-10 19:12:07,160 DEBUG   SenderThread:19364 [sender.py:send_request():317] send_request: check_version
2023-01-10 19:12:07,249 DEBUG   HandlerThread:19364 [handler.py:handle_request():139] handle_request: run_start
2023-01-10 19:12:07,250 DEBUG   HandlerThread:19364 [system_info.py:__init__():31] System info init
2023-01-10 19:12:07,250 DEBUG   HandlerThread:19364 [system_info.py:__init__():46] System info init done
2023-01-10 19:12:07,250 INFO    HandlerThread:19364 [system_monitor.py:start():150] Starting system monitor
2023-01-10 19:12:07,251 INFO    SystemMonitor:19364 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-01-10 19:12:07,251 INFO    HandlerThread:19364 [system_monitor.py:probe():171] Collecting system info
2023-01-10 19:12:07,251 DEBUG   HandlerThread:19364 [system_info.py:probe():195] Probing system
2023-01-10 19:12:07,252 INFO    SystemMonitor:19364 [interfaces.py:start():168] Started cpu
2023-01-10 19:12:07,252 INFO    SystemMonitor:19364 [interfaces.py:start():168] Started disk
2023-01-10 19:12:07,252 INFO    SystemMonitor:19364 [interfaces.py:start():168] Started memory
2023-01-10 19:12:07,253 INFO    SystemMonitor:19364 [interfaces.py:start():168] Started network
2023-01-10 19:12:07,254 DEBUG   HandlerThread:19364 [system_info.py:_probe_git():180] Probing git
2023-01-10 19:12:07,287 DEBUG   HandlerThread:19364 [system_info.py:_probe_git():188] Probing git done
2023-01-10 19:12:07,288 DEBUG   HandlerThread:19364 [system_info.py:probe():241] Probing system done
